Date,Time,H,A,Team_Home,Team_Away,Note
24.07.2009,19:00,0,0,FK Teplice,Sparta Praha,
25.07.2009,16:00,2,1,Baník Ostrava,1. FK Příbram,
25.07.2009,18:15,1,1,Slavia Praha,FK Mladá Boleslav,
25.07.2009,20:00,2,3,1. FC Slovácko,Viktoria Plzeň,
25.07.2009,20:00,1,1,Slovan Liberec,SK Kladno,
26.07.2009,17:00,1,1,České Budějovice,FK Jablonec,
26.07.2009,17:00,0,2,Bohemians Praha,Sigma Olomouc,
27.07.2009,17:30,0,0,Bohemians 1905,Zbrojovka Brno,
31.07.2009,19:00,0,0,Sparta Praha,Bohemians 1905,
01.08.2009,18:15,2,2,Viktoria Plzeň,FK Teplice,
02.08.2009,17:00,0,2,SK Kladno,1. FK Příbram,
02.08.2009,17:00,0,2,Bohemians Praha,České Budějovice,
02.08.2009,17:00,4,1,FK Mladá Boleslav,Slovan Liberec,
02.08.2009,17:00,0,0,Sigma Olomouc,Baník Ostrava,
02.08.2009,17:00,2,0,Zbrojovka Brno,Slavia Praha,
03.08.2009,17:30,3,2,FK Jablonec,1. FC Slovácko,
08.08.2009,16:00,1,1,1. FK Příbram,Sparta Praha,
08.08.2009,18:15,1,0,Baník Ostrava,Viktoria Plzeň,
09.08.2009,16:00,0,1,Bohemians 1905,FK Jablonec,
09.08.2009,17:00,3,0,FK Teplice,České Budějovice,
09.08.2009,17:00,0,1,Slovan Liberec,Zbrojovka Brno,
09.08.2009,19:00,2,0,1. FC Slovácko,Sigma Olomouc,
09.08.2009,19:00,3,1,Slavia Praha,Bohemians Praha,
10.08.2009,17:30,1,3,SK Kladno,FK Mladá Boleslav,
14.08.2009,19:00,1,0,Zbrojovka Brno,1. FC Slovácko,
15.08.2009,18:00,2,0,Sparta Praha,SK Kladno,
15.08.2009,18:15,0,1,České Budějovice,Slavia Praha,
16.08.2009,17:00,1,3,Bohemians Praha,FK Teplice,
16.08.2009,17:00,2,0,FK Mladá Boleslav,1. FK Příbram,
16.08.2009,17:00,1,1,Sigma Olomouc,Bohemians 1905,
16.08.2009,17:00,2,3,Viktoria Plzeň,Slovan Liberec,
17.08.2009,17:30,2,1,FK Jablonec,Baník Ostrava,
22.08.2009,18:15,2,0,1. FC Slovácko,Bohemians Praha,
23.08.2009,17:00,1,1,FK Teplice,Slavia Praha,
23.08.2009,17:00,3,0,Slovan Liberec,České Budějovice,
23.08.2009,17:00,2,1,1. FK Příbram,Sigma Olomouc,
23.08.2009,17:00,0,1,Bohemians 1905,Viktoria Plzeň,
23.08.2009,17:00,1,2,SK Kladno,FK Jablonec,
23.08.2009,19:00,1,0,Sparta Praha,FK Mladá Boleslav,
24.08.2009,17:30,1,1,Baník Ostrava,Zbrojovka Brno,
29.08.2009,18:15,0,1,FK Mladá Boleslav,Bohemians 1905,
29.08.2009,20:00,1,0,Viktoria Plzeň,SK Kladno,
30.08.2009,17:00,1,2,České Budějovice,Baník Ostrava,
30.08.2009,17:00,0,0,FK Jablonec,1. FK Příbram,
30.08.2009,17:00,2,1,Bohemians Praha,Slovan Liberec,
31.08.2009,17:30,1,1,Sigma Olomouc,Sparta Praha,
31.08.2009,19:30,2,3,Zbrojovka Brno,FK Teplice,
31.08.2009,19:30,3,0,Slavia Praha,1. FC Slovácko,
12.09.2009,16:00,1,0,1. FK Příbram,Viktoria Plzeň,
12.09.2009,16:00,1,0,Baník Ostrava,Bohemians Praha,
12.09.2009,18:15,2,0,Sparta Praha,FK Jablonec,
12.09.2009,20:00,1,1,Slovan Liberec,Slavia Praha,
13.09.2009,17:00,2,0,Bohemians 1905,České Budějovice,
13.09.2009,17:00,1,0,SK Kladno,Zbrojovka Brno,
13.09.2009,19:00,0,2,1. FC Slovácko,FK Teplice,
14.09.2009,17:30,2,2,FK Mladá Boleslav,Sigma Olomouc,
19.09.2009,16:00,2,1,Viktoria Plzeň,FK Mladá Boleslav,
19.09.2009,18:15,2,1,FK Jablonec,Slovan Liberec,
20.09.2009,17:00,0,0,České Budějovice,1. FC Slovácko,
20.09.2009,17:00,1,0,Bohemians Praha,1. FK Příbram,
20.09.2009,17:00,1,0,FK Teplice,Bohemians 1905,
20.09.2009,17:00,1,2,Sigma Olomouc,SK Kladno,
21.09.2009,17:30,3,1,Slavia Praha,Baník Ostrava,
21.09.2009,19:30,1,1,Zbrojovka Brno,Sparta Praha,
26.09.2009,17:00,2,2,Baník Ostrava,FK Teplice,
26.09.2009,17:00,2,0,Slovan Liberec,1. FC Slovácko,
26.09.2009,17:00,0,0,Sparta Praha,Viktoria Plzeň,
26.09.2009,19:45,1,1,Bohemians 1905,Slavia Praha,
27.09.2009,17:00,3,1,1. FK Příbram,České Budějovice,
27.09.2009,17:00,3,2,SK Kladno,Bohemians Praha,
27.09.2009,17:00,0,1,Sigma Olomouc,FK Jablonec,
28.09.2009,17:30,0,0,FK Mladá Boleslav,Zbrojovka Brno,
02.10.2009,17:30,2,1,Zbrojovka Brno,1. FK Příbram,
03.10.2009,16:00,1,0,Viktoria Plzeň,Sigma Olomouc,
03.10.2009,16:00,0,2,1. FC Slovácko,Baník Ostrava,
03.10.2009,18:15,2,0,FK Teplice,Slovan Liberec,
04.10.2009,15:00,0,0,České Budějovice,SK Kladno,
04.10.2009,17:00,0,0,Bohemians Praha,Bohemians 1905,
04.10.2009,17:00,1,0,FK Jablonec,FK Mladá Boleslav,
05.10.2009,17:30,0,1,Slavia Praha,Sparta Praha,
17.10.2009,16:00,0,3,1. FK Příbram,FK Teplice,
17.10.2009,18:00,1,1,Sparta Praha,České Budějovice,
17.10.2009,18:15,1,0,Baník Ostrava,Slovan Liberec,
18.10.2009,16:00,4,2,FK Mladá Boleslav,Bohemians Praha,
18.10.2009,17:00,0,2,SK Kladno,Slavia Praha,
18.10.2009,17:00,5,0,Sigma Olomouc,Zbrojovka Brno,
18.10.2009,17:00,0,1,Bohemians 1905,1. FC Slovácko,
19.10.2009,17:30,0,1,FK Jablonec,Viktoria Plzeň,
24.10.2009,16:00,1,0,Slovan Liberec,1. FK Příbram,
24.10.2009,16:00,2,0,1. FC Slovácko,SK Kladno,
24.10.2009,16:00,0,1,Zbrojovka Brno,FK Jablonec,
24.10.2009,16:00,3,1,Baník Ostrava,Bohemians 1905,
24.10.2009,18:15,2,2,FK Teplice,FK Mladá Boleslav,
25.10.2009,15:00,0,0,České Budějovice,Viktoria Plzeň,
25.10.2009,17:00,2,3,Bohemians Praha,Sparta Praha,
26.10.2009,17:30,1,2,Slavia Praha,Sigma Olomouc,
31.10.2009,16:00,1,0,1. FK Příbram,Slavia Praha,
31.10.2009,18:15,1,1,Sparta Praha,Baník Ostrava,
01.11.2009,15:00,1,0,FK Jablonec,Bohemians Praha,
01.11.2009,15:00,0,2,SK Kladno,FK Teplice,
01.11.2009,17:00,0,1,Bohemians 1905,Slovan Liberec,
01.11.2009,17:00,3,2,FK Mladá Boleslav,1. FC Slovácko,
01.11.2009,17:00,2,0,Sigma Olomouc,České Budějovice,
02.11.2009,17:30,1,1,Viktoria Plzeň,Zbrojovka Brno,
07.11.2009,16:00,2,0,Baník Ostrava,SK Kladno,
07.11.2009,16:00,0,4,Slovan Liberec,Sigma Olomouc,
07.11.2009,18:15,1,0,FK Teplice,FK Jablonec,
08.11.2009,15:00,1,3,České Budějovice,FK Mladá Boleslav,
08.11.2009,17:00,1,0,Bohemians 1905,1. FK Příbram,
08.11.2009,17:00,2,1,Bohemians Praha,Zbrojovka Brno,
09.11.2009,17:30,0,1,1. FC Slovácko,Sparta Praha,
09.11.2009,17:30,0,0,Slavia Praha,Viktoria Plzeň,
21.11.2009,13:30,1,2,SK Kladno,Bohemians 1905,
21.11.2009,16:00,2,0,1. FK Příbram,1. FC Slovácko,
21.11.2009,16:00,0,3,Zbrojovka Brno,České Budějovice,
21.11.2009,16:00,3,2,Viktoria Plzeň,Bohemians Praha,
21.11.2009,18:00,2,0,Sparta Praha,Slovan Liberec,
21.11.2009,19:15,1,1,FK Jablonec,Slavia Praha,
22.11.2009,17:00,3,1,FK Mladá Boleslav,Baník Ostrava,
23.11.2009,17:30,6,2,Sigma Olomouc,FK Teplice,
28.11.2009,16:00,1,1,1. FC Slovácko,FK Jablonec,
28.11.2009,16:00,3,2,1. FK Příbram,SK Kladno,
28.11.2009,16:00,3,0,Slovan Liberec,FK Mladá Boleslav,
28.11.2009,18:15,0,2,Bohemians 1905,Sparta Praha,
29.11.2009,15:00,3,0,České Budějovice,Bohemians Praha,
29.11.2009,17:00,3,1,Slavia Praha,Zbrojovka Brno,
30.11.2009,17:30,2,0,Baník Ostrava,Sigma Olomouc,
27.02.2010,16:00,1,0,Zbrojovka Brno,Slovan Liberec,
27.02.2010,16:00,1,1,Sparta Praha,1. FK Příbram,
27.02.2010,18:20,0,1,Bohemians Praha,Slavia Praha,
28.02.2010,15:00,0,0,České Budějovice,FK Teplice,
28.02.2010,15:00,3,0,FK Jablonec,Bohemians 1905,
28.02.2010,17:00,1,0,Sigma Olomouc,1. FC Slovácko,
28.02.2010,17:00,0,1,FK Mladá Boleslav,SK Kladno,
01.03.2010,17:30,0,0,Viktoria Plzeň,Baník Ostrava,
06.03.2010,16:00,2,1,FK Teplice,Bohemians Praha,
06.03.2010,16:00,0,2,Slovan Liberec,Viktoria Plzeň,
06.03.2010,16:00,0,2,1. FC Slovácko,Zbrojovka Brno,
06.03.2010,16:00,2,0,Bohemians 1905,Sigma Olomouc,
07.03.2010,15:00,0,1,SK Kladno,Sparta Praha,
07.03.2010,17:00,4,1,Baník Ostrava,FK Jablonec,
08.03.2010,17:30,3,2,Slavia Praha,České Budějovice,
10.03.2010,18:00,2,1,FK Teplice,Viktoria Plzeň,
13.03.2010,18:20,0,0,Slavia Praha,FK Teplice,
14.03.2010,15:00,1,0,FK Jablonec,SK Kladno,
14.03.2010,15:00,1,1,České Budějovice,Slovan Liberec,
14.03.2010,15:00,3,0,Viktoria Plzeň,Bohemians 1905,
14.03.2010,17:00,3,1,Sigma Olomouc,1. FK Příbram,
14.03.2010,17:00,1,2,FK Mladá Boleslav,Sparta Praha,
14.03.2010,17:00,1,1,Bohemians Praha,1. FC Slovácko,
15.03.2010,17:30,1,1,Zbrojovka Brno,Baník Ostrava,
20.03.2010,13:30,1,2,1. FK Příbram,FK Jablonec,
20.03.2010,13:30,1,3,SK Kladno,Viktoria Plzeň,
20.03.2010,15:45,4,0,Sparta Praha,Sigma Olomouc,
20.03.2010,18:00,2,3,Slovan Liberec,Bohemians Praha,
20.03.2010,18:00,0,1,Baník Ostrava,České Budějovice,
20.03.2010,18:00,0,1,FK Teplice,Zbrojovka Brno,
21.03.2010,17:00,2,0,Bohemians 1905,FK Mladá Boleslav,
22.03.2010,17:30,3,1,1. FC Slovácko,Slavia Praha,
24.03.2010,17:30,0,0,České Budějovice,Bohemians 1905,
24.03.2010,17:30,0,3,Bohemians Praha,Baník Ostrava,
24.03.2010,17:30,1,2,Sigma Olomouc,FK Mladá Boleslav,
24.03.2010,17:30,3,0,Zbrojovka Brno,SK Kladno,
24.03.2010,17:30,3,1,Viktoria Plzeň,1. FK Příbram,
24.03.2010,20:00,0,0,FK Jablonec,Sparta Praha,
25.03.2010,18:00,2,1,FK Teplice,1. FC Slovácko,
25.03.2010,19:00,0,2,Slavia Praha,Slovan Liberec,
27.03.2010,15:45,4,0,FK Mladá Boleslav,Viktoria Plzeň,
28.03.2010,15:00,4,2,Slovan Liberec,FK Jablonec,
28.03.2010,17:00,1,0,1. FC Slovácko,České Budějovice,
28.03.2010,17:00,1,1,Bohemians 1905,FK Teplice,
28.03.2010,17:00,2,3,SK Kladno,Sigma Olomouc,
28.03.2010,17:00,3,2,1. FK Příbram,Bohemians Praha,
28.03.2010,17:00,3,0,Sparta Praha,Zbrojovka Brno,
29.03.2010,17:30,3,1,Baník Ostrava,Slavia Praha,
03.04.2010,15:45,3,1,FK Jablonec,Sigma Olomouc,
03.04.2010,18:00,2,3,Zbrojovka Brno,FK Mladá Boleslav,
03.04.2010,18:00,0,0,1. FC Slovácko,Slovan Liberec,
04.04.2010,17:00,2,1,České Budějovice,1. FK Příbram,
04.04.2010,17:00,1,4,Bohemians Praha,SK Kladno,
05.04.2010,15:30,0,1,FK Teplice,Baník Ostrava,
05.04.2010,15:30,3,0,Slavia Praha,Bohemians 1905,
05.04.2010,17:30,2,2,Viktoria Plzeň,Sparta Praha,
10.04.2010,15:45,3,0,Bohemians 1905,Bohemians Praha,DNF
10.04.2010,18:00,3,2,Baník Ostrava,1. FC Slovácko,
11.04.2010,16:00,1,2,FK Mladá Boleslav,FK Jablonec,
11.04.2010,17:00,1,0,Slovan Liberec,FK Teplice,
11.04.2010,17:00,3,1,1. FK Příbram,Zbrojovka Brno,
11.04.2010,17:00,2,1,SK Kladno,České Budějovice,
11.04.2010,17:00,1,0,Sigma Olomouc,Viktoria Plzeň,
12.04.2010,17:30,1,0,Sparta Praha,Slavia Praha,
14.04.2010,17:30,2,2,1. FK Příbram,FK Mladá Boleslav,
17.04.2010,15:45,1,1,Viktoria Plzeň,FK Jablonec,
17.04.2010,18:00,1,1,1. FC Slovácko,Bohemians 1905,
17.04.2010,18:00,1,2,Zbrojovka Brno,Sigma Olomouc,
18.04.2010,17:00,0,0,České Budějovice,Sparta Praha,
18.04.2010,17:00,0,0,Slavia Praha,SK Kladno,
18.04.2010,17:00,2,4,Bohemians Praha,FK Mladá Boleslav,
18.04.2010,19:30,1,0,FK Teplice,1. FK Příbram,
19.04.2010,17:30,0,1,Slovan Liberec,Baník Ostrava,
24.04.2010,16:00,0,0,Viktoria Plzeň,České Budějovice,
24.04.2010,16:00,1,1,1. FK Příbram,Slovan Liberec,
24.04.2010,16:00,1,0,Sparta Praha,Bohemians Praha,
24.04.2010,20:00,1,0,FK Jablonec,Zbrojovka Brno,
25.04.2010,17:00,1,0,SK Kladno,1. FC Slovácko,
25.04.2010,17:00,3,1,Sigma Olomouc,Slavia Praha,
25.04.2010,17:00,0,1,FK Mladá Boleslav,FK Teplice,
26.04.2010,17:30,0,1,Bohemians 1905,Baník Ostrava,
30.04.2010,18:20,1,0,1. FC Slovácko,FK Mladá Boleslav,
01.05.2010,16:00,1,1,Slovan Liberec,Bohemians 1905,
01.05.2010,18:20,2,2,Zbrojovka Brno,Viktoria Plzeň,
01.05.2010,20:00,5,0,FK Teplice,SK Kladno,
02.05.2010,16:00,2,1,České Budějovice,Sigma Olomouc,
02.05.2010,16:00,0,4,Bohemians Praha,FK Jablonec,
02.05.2010,16:00,3,0,Slavia Praha,1. FK Příbram,
02.05.2010,18:25,1,1,Baník Ostrava,Sparta Praha,
05.05.2010,17:30,0,3,SK Kladno,Baník Ostrava,
05.05.2010,17:30,2,0,1. FK Příbram,Bohemians 1905,
05.05.2010,17:30,0,1,FK Mladá Boleslav,České Budějovice,
05.05.2010,17:30,4,0,Sparta Praha,1. FC Slovácko,
05.05.2010,17:30,2,0,Sigma Olomouc,Slovan Liberec,
05.05.2010,17:30,0,0,Zbrojovka Brno,Bohemians Praha,
05.05.2010,17:30,4,2,Viktoria Plzeň,Slavia Praha,
05.05.2010,20:00,0,0,FK Jablonec,FK Teplice,
08.05.2010,17:30,1,3,České Budějovice,Zbrojovka Brno,
08.05.2010,17:30,2,2,Bohemians Praha,Viktoria Plzeň,
08.05.2010,17:30,1,1,FK Teplice,Sigma Olomouc,
08.05.2010,17:30,0,3,Slavia Praha,FK Jablonec,
08.05.2010,17:30,2,2,Slovan Liberec,Sparta Praha,
08.05.2010,17:30,2,1,1. FC Slovácko,1. FK Příbram,
08.05.2010,17:30,0,0,Bohemians 1905,SK Kladno,
08.05.2010,17:30,2,2,Baník Ostrava,FK Mladá Boleslav,
15.05.2010,17:30,1,1,1. FK Příbram,Baník Ostrava,
15.05.2010,17:30,0,1,FK Mladá Boleslav,Slavia Praha,
15.05.2010,17:30,1,0,Sparta Praha,FK Teplice,
15.05.2010,17:30,2,0,FK Jablonec,České Budějovice,
15.05.2010,17:30,3,0,Sigma Olomouc,Bohemians Praha,
15.05.2010,17:30,1,2,Zbrojovka Brno,Bohemians 1905,
15.05.2010,17:30,2,2,Viktoria Plzeň,1. FC Slovácko,
15.05.2010,17:30,1,2,SK Kladno,Slovan Liberec,
16.07.2010,17:30,1,1,Bohemians 1905,Slavia Praha,
17.07.2010,18:00,3,0,1. FC Slovácko,FK Teplice,
17.07.2010,18:15,2,1,FC Hradec Králové,Sparta Praha,
18.07.2010,15:00,0,0,1. FK Příbram,Baník Ostrava,
18.07.2010,15:00,0,2,FK Ústí nad Labem,FK Mladá Boleslav,
18.07.2010,17:00,0,0,České Budějovice,Slovan Liberec,
18.07.2010,17:00,2,2,Viktoria Plzeň,Sigma Olomouc,
19.07.2010,18:00,1,0,FK Jablonec,Zbrojovka Brno,
23.07.2010,17:30,1,1,FK Mladá Boleslav,České Budějovice,
24.07.2010,18:00,2,1,Sparta Praha,1. FC Slovácko,
24.07.2010,18:15,2,3,Slovan Liberec,Viktoria Plzeň,
25.07.2010,17:00,1,2,FK Teplice,1. FK Příbram,
25.07.2010,17:00,4,1,Sigma Olomouc,FK Jablonec,
25.07.2010,17:00,1,3,Zbrojovka Brno,FK Ústí nad Labem,
25.07.2010,19:00,1,1,Baník Ostrava,Slavia Praha,
26.07.2010,18:00,1,1,FC Hradec Králové,Bohemians 1905,
30.07.2010,17:30,0,0,FK Ústí nad Labem,Slovan Liberec,
31.07.2010,16:00,1,0,Slavia Praha,FK Mladá Boleslav,
31.07.2010,18:00,2,1,1. FC Slovácko,FC Hradec Králové,
01.08.2010,17:00,1,0,České Budějovice,Sparta Praha,
01.08.2010,17:00,2,1,Viktoria Plzeň,Bohemians 1905,
01.08.2010,17:00,3,0,Baník Ostrava,Zbrojovka Brno,
01.08.2010,18:00,1,1,FK Jablonec,FK Teplice,
02.08.2010,18:00,0,0,1. FK Příbram,Sigma Olomouc,
06.08.2010,17:30,2,3,Zbrojovka Brno,Slavia Praha,
07.08.2010,18:00,1,0,Bohemians 1905,1. FC Slovácko,
08.08.2010,17:00,3,0,FK Mladá Boleslav,1. FK Příbram,
08.08.2010,17:00,3,0,Sigma Olomouc,FK Ústí nad Labem,
08.08.2010,17:00,1,1,Slovan Liberec,FK Jablonec,
08.08.2010,19:00,4,0,Sparta Praha,Baník Ostrava,
09.08.2010,18:00,1,1,FK Teplice,České Budějovice,
09.08.2010,18:00,0,3,FC Hradec Králové,Viktoria Plzeň,
13.08.2010,17:30,0,1,1. FK Příbram,Sparta Praha,
14.08.2010,18:15,1,2,Baník Ostrava,Sigma Olomouc,
15.08.2010,15:00,3,1,FK Jablonec,Bohemians 1905,
15.08.2010,17:00,3,0,Viktoria Plzeň,1. FC Slovácko,
15.08.2010,17:00,0,0,České Budějovice,FC Hradec Králové,
15.08.2010,17:00,1,3,Slavia Praha,Slovan Liberec,
16.08.2010,18:00,3,1,Zbrojovka Brno,FK Mladá Boleslav,
16.08.2010,18:00,0,2,FK Ústí nad Labem,FK Teplice,
20.08.2010,17:30,1,0,FC Hradec Králové,FK Jablonec,
21.08.2010,16:00,0,0,Slovan Liberec,1. FK Příbram,
21.08.2010,18:00,1,1,1. FC Slovácko,FK Ústí nad Labem,
21.08.2010,18:15,0,1,Sparta Praha,Viktoria Plzeň,
22.08.2010,17:00,2,2,Bohemians 1905,České Budějovice,
22.08.2010,17:00,1,0,FK Mladá Boleslav,Baník Ostrava,
22.08.2010,17:00,3,0,Sigma Olomouc,Zbrojovka Brno,
23.08.2010,18:00,2,1,FK Teplice,Slavia Praha,
27.08.2010,17:30,1,1,Slavia Praha,Sigma Olomouc,
28.08.2010,16:00,1,0,1. FK Příbram,FC Hradec Králové,
28.08.2010,17:45,0,1,Baník Ostrava,FK Teplice,
29.08.2010,15:00,1,0,FK Ústí nad Labem,Bohemians 1905,
29.08.2010,15:00,3,0,FK Jablonec,1. FC Slovácko,
29.08.2010,17:00,3,1,FK Mladá Boleslav,Slovan Liberec,
29.08.2010,17:00,0,3,České Budějovice,Viktoria Plzeň,
30.08.2010,18:00,0,5,Zbrojovka Brno,Sparta Praha,
10.09.2010,18:15,4,1,Slovan Liberec,Baník Ostrava,
11.09.2010,15:30,1,0,Sparta Praha,FK Jablonec,
11.09.2010,18:00,2,0,1. FC Slovácko,České Budějovice,
12.09.2010,17:00,0,0,FC Hradec Králové,Slavia Praha,
12.09.2010,17:00,1,0,Bohemians 1905,1. FK Příbram,
12.09.2010,17:00,7,0,Viktoria Plzeň,FK Ústí nad Labem,
12.09.2010,17:00,1,2,FK Teplice,Zbrojovka Brno,
13.09.2010,18:00,0,0,Sigma Olomouc,FK Mladá Boleslav,
17.09.2010,18:15,1,2,FK Jablonec,Viktoria Plzeň,
18.09.2010,16:00,0,1,1. FK Příbram,1. FC Slovácko,
18.09.2010,18:00,1,0,Baník Ostrava,FC Hradec Králové,
18.09.2010,18:20,4,0,Sigma Olomouc,Slovan Liberec,
19.09.2010,15:00,1,1,FK Ústí nad Labem,České Budějovice,
19.09.2010,17:00,3,3,FK Mladá Boleslav,FK Teplice,
19.09.2010,17:00,1,0,Zbrojovka Brno,Bohemians 1905,
20.09.2010,18:00,1,2,Slavia Praha,Sparta Praha,
24.09.2010,18:15,3,0,1. FC Slovácko,Slavia Praha,
25.09.2010,16:00,3,1,Slovan Liberec,Zbrojovka Brno,
25.09.2010,17:50,1,1,Sparta Praha,FK Mladá Boleslav,
26.09.2010,17:00,2,1,České Budějovice,FK Jablonec,
26.09.2010,17:00,2,1,Viktoria Plzeň,1. FK Příbram,
26.09.2010,17:00,1,1,Bohemians 1905,Baník Ostrava,
26.09.2010,17:00,3,3,FC Hradec Králové,FK Ústí nad Labem,
27.09.2010,18:00,1,0,FK Teplice,Sigma Olomouc,
01.10.2010,19:30,0,1,Slavia Praha,Viktoria Plzeň,
02.10.2010,16:00,2,0,1. FK Příbram,České Budějovice,
02.10.2010,16:15,1,0,FK Teplice,Slovan Liberec,
02.10.2010,18:00,2,1,Baník Ostrava,1. FC Slovácko,
03.10.2010,14:30,1,2,Zbrojovka Brno,FC Hradec Králové,
03.10.2010,17:00,3,2,FK Mladá Boleslav,Bohemians 1905,
03.10.2010,17:00,2,0,FK Jablonec,FK Ústí nad Labem,
04.10.2010,18:00,0,1,Sigma Olomouc,Sparta Praha,
15.10.2010,18:15,3,1,Bohemians 1905,Slovan Liberec,
16.10.2010,18:20,0,2,Sparta Praha,FK Teplice,
17.10.2010,15:00,4,1,Viktoria Plzeň,Zbrojovka Brno,
17.10.2010,15:00,5,1,FK Jablonec,1. FK Příbram,
17.10.2010,15:00,0,0,FC Hradec Králové,FK Mladá Boleslav,
17.10.2010,17:00,1,1,FK Ústí nad Labem,Slavia Praha,
17.10.2010,17:00,2,1,České Budějovice,Baník Ostrava,
18.10.2010,18:00,0,2,1. FC Slovácko,Sigma Olomouc,
22.10.2010,18:15,2,1,FK Teplice,FC Hradec Králové,
23.10.2010,16:00,0,0,1. FK Příbram,FK Ústí nad Labem,
23.10.2010,18:20,4,3,FK Mladá Boleslav,Viktoria Plzeň,
24.10.2010,14:30,7,0,Zbrojovka Brno,1. FC Slovácko,
24.10.2010,17:00,1,3,Baník Ostrava,FK Jablonec,
24.10.2010,17:00,3,1,Sigma Olomouc,Bohemians 1905,
24.10.2010,18:00,4,0,Slavia Praha,České Budějovice,
25.10.2010,18:00,1,2,Slovan Liberec,Sparta Praha,
29.10.2010,18:15,4,2,Viktoria Plzeň,FK Teplice,
30.10.2010,16:00,1,1,1. FK Příbram,Slavia Praha,
30.10.2010,18:20,0,1,Bohemians 1905,Sparta Praha,
31.10.2010,15:00,0,4,FK Ústí nad Labem,Baník Ostrava,
31.10.2010,15:00,1,0,České Budějovice,Zbrojovka Brno,
31.10.2010,15:00,1,0,FC Hradec Králové,Sigma Olomouc,
31.10.2010,17:00,0,1,1. FC Slovácko,Slovan Liberec,
01.11.2010,18:00,1,1,FK Jablonec,FK Mladá Boleslav,
05.11.2010,20:15,0,3,Slavia Praha,FK Jablonec,
06.11.2010,16:00,3,0,Slovan Liberec,FC Hradec Králové,
06.11.2010,18:20,0,2,Baník Ostrava,Viktoria Plzeň,
07.11.2010,17:00,0,2,FK Teplice,Bohemians 1905,
07.11.2010,17:00,5,1,Sigma Olomouc,České Budějovice,
07.11.2010,17:00,2,3,FK Mladá Boleslav,1. FC Slovácko,
07.11.2010,17:00,0,1,Zbrojovka Brno,1. FK Příbram,
08.11.2010,18:00,4,1,Sparta Praha,FK Ústí nad Labem,
12.11.2010,18:15,1,1,Slavia Praha,Baník Ostrava,
