Date,Time,H,A,Team_Home,Team_Away,Note
13.11.2010,18:00,0,2,1. FC Slovácko,Sparta Praha,
13.11.2010,18:20,1,1,Viktoria Plzeň,Slovan Liberec,
14.11.2010,15:00,3,2,FK Jablonec,Sigma Olomouc,
14.11.2010,15:00,2,3,FK Ústí nad Labem,Zbrojovka Brno,
14.11.2010,15:00,1,1,1. FK Příbram,FK Teplice,
14.11.2010,17:00,1,0,Bohemians 1905,FC Hradec Králové,
15.11.2010,18:00,1,3,České Budějovice,FK Mladá Boleslav,
19.11.2010,18:15,1,0,Bohemians 1905,Viktoria Plzeň,
20.11.2010,16:00,3,0,Slovan Liberec,FK Ústí nad Labem,
20.11.2010,18:20,3,1,FK Mladá Boleslav,Slavia Praha,
21.11.2010,15:00,3,1,Sigma Olomouc,1. FK Příbram,
21.11.2010,15:00,0,0,FC Hradec Králové,1. FC Slovácko,
21.11.2010,16:00,2,0,Sparta Praha,České Budějovice,
22.11.2010,17:00,0,2,Zbrojovka Brno,Baník Ostrava,
22.11.2010,18:00,1,2,FK Teplice,FK Jablonec,
25.02.2011,20:15,1,1,Slavia Praha,Zbrojovka Brno,
26.02.2011,16:00,1,3,1. FC Slovácko,Bohemians 1905,
26.02.2011,16:00,0,0,1. FK Příbram,FK Mladá Boleslav,
26.02.2011,17:20,2,1,Viktoria Plzeň,FC Hradec Králové,
27.02.2011,15:00,0,3,FK Ústí nad Labem,Sigma Olomouc,
27.02.2011,15:00,2,2,České Budějovice,FK Teplice,
27.02.2011,17:00,3,0,FK Jablonec,Slovan Liberec,
28.02.2011,17:30,0,2,Baník Ostrava,Sparta Praha,
04.03.2011,20:15,0,1,Bohemians 1905,FK Jablonec,
05.03.2011,15:00,0,2,Slovan Liberec,Slavia Praha,
05.03.2011,17:20,2,2,1. FC Slovácko,Viktoria Plzeň,
06.03.2011,15:00,2,0,FC Hradec Králové,České Budějovice,
06.03.2011,16:30,5,0,FK Mladá Boleslav,Zbrojovka Brno,
06.03.2011,17:00,2,1,FK Teplice,FK Ústí nad Labem,
06.03.2011,17:00,1,0,Sparta Praha,1. FK Příbram,
07.03.2011,17:30,2,0,Sigma Olomouc,Baník Ostrava,
11.03.2011,20:15,2,0,Zbrojovka Brno,Sigma Olomouc,
12.03.2011,16:00,1,0,1. FK Příbram,Slovan Liberec,
12.03.2011,17:20,1,0,Viktoria Plzeň,Sparta Praha,
13.03.2011,15:00,7,0,FK Jablonec,FC Hradec Králové,
13.03.2011,15:00,1,1,České Budějovice,Bohemians 1905,
13.03.2011,15:00,2,0,FK Ústí nad Labem,1. FC Slovácko,
13.03.2011,17:00,4,1,Slavia Praha,FK Teplice,
14.03.2011,17:30,1,0,Baník Ostrava,FK Mladá Boleslav,
18.03.2011,20:15,2,1,Viktoria Plzeň,České Budějovice,
19.03.2011,16:00,4,0,Slovan Liberec,FK Mladá Boleslav,
19.03.2011,16:00,1,1,1. FC Slovácko,FK Jablonec,
19.03.2011,17:20,2,0,Sparta Praha,Zbrojovka Brno,
20.03.2011,17:00,4,0,FK Teplice,Baník Ostrava,
20.03.2011,17:00,0,0,Sigma Olomouc,Slavia Praha,
20.03.2011,17:00,1,0,Bohemians 1905,FK Ústí nad Labem,
21.03.2011,17:30,2,1,FC Hradec Králové,1. FK Příbram,
01.04.2011,20:15,2,0,FK Mladá Boleslav,Sigma Olomouc,
02.04.2011,16:00,0,1,1. FK Příbram,Bohemians 1905,
02.04.2011,18:00,0,0,Baník Ostrava,Slovan Liberec,
02.04.2011,18:20,2,1,FK Jablonec,Sparta Praha,
03.04.2011,17:00,0,1,Zbrojovka Brno,FK Teplice,
03.04.2011,17:00,0,0,České Budějovice,1. FC Slovácko,
03.04.2011,17:00,0,5,FK Ústí nad Labem,Viktoria Plzeň,
03.04.2011,19:30,0,0,Slavia Praha,FC Hradec Králové,
08.04.2011,20:15,1,1,Viktoria Plzeň,FK Jablonec,
09.04.2011,16:00,3,0,Slovan Liberec,Sigma Olomouc,
09.04.2011,18:00,2,0,1. FC Slovácko,1. FK Příbram,
09.04.2011,19:00,1,2,FK Teplice,FK Mladá Boleslav,
10.04.2011,17:00,2,1,Bohemians 1905,Zbrojovka Brno,
10.04.2011,17:00,2,1,FC Hradec Králové,Baník Ostrava,
10.04.2011,17:00,2,0,České Budějovice,FK Ústí nad Labem,
11.04.2011,20:00,2,0,Sparta Praha,Slavia Praha,
15.04.2011,20:15,0,3,1. FK Příbram,Viktoria Plzeň,
16.04.2011,18:20,0,0,Baník Ostrava,Bohemians 1905,
17.04.2011,15:00,0,2,FK Ústí nad Labem,FC Hradec Králové,
17.04.2011,15:00,5,0,FK Jablonec,České Budějovice,
17.04.2011,17:00,1,2,FK Mladá Boleslav,Sparta Praha,
17.04.2011,17:00,0,1,Zbrojovka Brno,Slovan Liberec,
17.04.2011,17:00,3,0,Sigma Olomouc,FK Teplice,
18.04.2011,18:30,2,0,Slavia Praha,1. FC Slovácko,
22.04.2011,20:15,2,0,Sparta Praha,Sigma Olomouc,
23.04.2011,16:50,0,0,1. FC Slovácko,Baník Ostrava,
24.04.2011,15:00,2,1,FK Ústí nad Labem,FK Jablonec,
24.04.2011,17:00,3,1,Bohemians 1905,FK Mladá Boleslav,
24.04.2011,17:00,1,0,FC Hradec Králové,Zbrojovka Brno,
24.04.2011,17:00,3,0,České Budějovice,1. FK Příbram,
24.04.2011,17:00,6,2,Slovan Liberec,FK Teplice,
25.04.2011,18:30,2,2,Viktoria Plzeň,Slavia Praha,
29.04.2011,20:15,1,0,Slovan Liberec,Bohemians 1905,
30.04.2011,16:00,1,2,1. FK Příbram,FK Jablonec,
30.04.2011,17:00,1,2,FK Mladá Boleslav,FC Hradec Králové,
30.04.2011,17:20,1,1,Zbrojovka Brno,Viktoria Plzeň,
30.04.2011,18:00,3,2,Baník Ostrava,České Budějovice,
01.05.2011,17:00,3,0,Slavia Praha,FK Ústí nad Labem,
01.05.2011,17:00,0,2,Sigma Olomouc,1. FC Slovácko,
02.05.2011,19:00,2,2,FK Teplice,Sparta Praha,
06.05.2011,20:15,3,2,Sparta Praha,Slovan Liberec,
07.05.2011,17:20,3,1,Viktoria Plzeň,FK Mladá Boleslav,
07.05.2011,18:00,0,2,1. FC Slovácko,Zbrojovka Brno,
08.05.2011,14:00,0,3,FK Ústí nad Labem,1. FK Příbram,
08.05.2011,14:00,0,0,FC Hradec Králové,FK Teplice,
08.05.2011,14:00,1,1,České Budějovice,Slavia Praha,
08.05.2011,14:00,2,1,Bohemians 1905,Sigma Olomouc,
08.05.2011,20:00,3,3,FK Jablonec,Baník Ostrava,
13.05.2011,20:15,2,0,Sparta Praha,Bohemians 1905,
14.05.2011,18:00,1,0,Slovan Liberec,1. FC Slovácko,
14.05.2011,18:00,3,3,Baník Ostrava,FK Ústí nad Labem,
14.05.2011,18:20,0,1,FK Teplice,Viktoria Plzeň,
15.05.2011,17:00,2,0,Sigma Olomouc,FC Hradec Králové,
15.05.2011,17:00,1,2,FK Mladá Boleslav,FK Jablonec,
16.05.2011,18:30,3,2,Slavia Praha,1. FK Příbram,
16.05.2011,18:30,1,1,Zbrojovka Brno,České Budějovice,
21.05.2011,17:30,1,0,FC Hradec Králové,Slovan Liberec,
21.05.2011,17:30,1,1,Bohemians 1905,FK Teplice,
21.05.2011,17:30,1,0,České Budějovice,Sigma Olomouc,
21.05.2011,17:30,3,1,Viktoria Plzeň,Baník Ostrava,
21.05.2011,17:30,1,3,FK Ústí nad Labem,Sparta Praha,
21.05.2011,17:30,2,2,FK Jablonec,Slavia Praha,
21.05.2011,17:30,1,2,1. FC Slovácko,FK Mladá Boleslav,
21.05.2011,17:30,1,0,1. FK Příbram,Zbrojovka Brno,
28.05.2011,17:30,2,0,FK Mladá Boleslav,FK Ústí nad Labem,
28.05.2011,17:30,2,1,Sigma Olomouc,Viktoria Plzeň,
28.05.2011,17:30,1,1,FK Teplice,1. FC Slovácko,
28.05.2011,17:30,3,0,Slavia Praha,Bohemians 1905,
28.05.2011,17:30,0,2,Baník Ostrava,1. FK Příbram,
28.05.2011,17:30,3,1,Sparta Praha,FC Hradec Králové,
28.05.2011,17:30,3,3,Slovan Liberec,České Budějovice,
28.05.2011,17:30,3,4,Zbrojovka Brno,FK Jablonec,
29.07.2011,18:00,0,0,Dukla Praha,Sigma Olomouc,
29.07.2011,20:15,2,0,Bohemians 1905,Slavia Praha,
30.07.2011,17:00,3,4,Baník Ostrava,FK Teplice,
30.07.2011,17:30,2,2,Viktoria Plzeň,Slovan Liberec,
30.07.2011,19:00,2,3,1. FC Slovácko,1. FK Příbram,
31.07.2011,17:00,2,4,České Budějovice,Sparta Praha,
31.07.2011,17:00,1,0,FC Hradec Králové,Viktoria Žižkov,
01.08.2011,16:45,0,0,FK Jablonec,FK Mladá Boleslav,
05.08.2011,18:00,4,2,Dukla Praha,České Budějovice,
05.08.2011,20:15,0,3,FK Teplice,FC Hradec Králové,
06.08.2011,16:00,2,1,1. FK Příbram,Viktoria Žižkov,
06.08.2011,18:00,3,0,Sigma Olomouc,Baník Ostrava,
06.08.2011,18:00,2,1,Slovan Liberec,Slavia Praha,
07.08.2011,17:00,1,0,FK Mladá Boleslav,1. FC Slovácko,
07.08.2011,17:00,2,1,Bohemians 1905,Viktoria Plzeň,
07.08.2011,19:30,2,1,Sparta Praha,FK Jablonec,
12.08.2011,18:00,2,0,Viktoria Plzeň,FK Teplice,
12.08.2011,20:15,1,0,Viktoria Žižkov,Dukla Praha,
13.08.2011,18:20,1,4,Baník Ostrava,FK Mladá Boleslav,
14.08.2011,17:00,1,2,České Budějovice,Sigma Olomouc,
14.08.2011,17:00,3,1,Slavia Praha,1. FK Příbram,
14.08.2011,17:00,0,3,FC Hradec Králové,Slovan Liberec,
14.08.2011,17:00,0,2,1. FC Slovácko,Sparta Praha,
15.08.2011,18:30,5,0,FK Jablonec,Bohemians 1905,
19.08.2011,20:15,4,0,FK Jablonec,Baník Ostrava,
20.08.2011,16:00,2,3,1. FK Příbram,Slovan Liberec,
20.08.2011,18:20,2,4,Dukla Praha,Viktoria Plzeň,
21.08.2011,17:00,1,0,Sparta Praha,FC Hradec Králové,
21.08.2011,17:00,1,1,Sigma Olomouc,1. FC Slovácko,
21.08.2011,17:00,2,0,FK Mladá Boleslav,Viktoria Žižkov,
21.08.2011,17:00,2,1,Bohemians 1905,České Budějovice,
22.08.2011,18:30,0,0,FK Teplice,Slavia Praha,
26.08.2011,20:15,1,1,Slavia Praha,FK Mladá Boleslav,
27.08.2011,17:00,0,1,Baník Ostrava,Bohemians 1905,
27.08.2011,19:00,1,0,1. FC Slovácko,Dukla Praha,
27.08.2011,19:20,0,2,Slovan Liberec,FK Teplice,
28.08.2011,17:00,2,2,Viktoria Žižkov,Sigma Olomouc,
28.08.2011,17:00,1,5,České Budějovice,FK Jablonec,
28.08.2011,17:00,0,1,FC Hradec Králové,1. FK Příbram,
29.08.2011,18:30,0,2,Viktoria Plzeň,Sparta Praha,
09.09.2011,18:00,4,0,Dukla Praha,FC Hradec Králové,
09.09.2011,20:15,2,3,Sigma Olomouc,Viktoria Plzeň,
10.09.2011,17:00,1,1,Bohemians 1905,1. FC Slovácko,
10.09.2011,20:15,1,4,FK Mladá Boleslav,Slovan Liberec,
11.09.2011,17:00,2,1,FK Teplice,1. FK Příbram,
11.09.2011,17:00,0,0,České Budějovice,Baník Ostrava,
11.09.2011,17:00,4,0,FK Jablonec,Slavia Praha,
12.09.2011,20:15,4,1,Sparta Praha,Viktoria Žižkov,
16.09.2011,20:15,0,0,Slavia Praha,Dukla Praha,
17.09.2011,18:00,1,1,Slovan Liberec,Sigma Olomouc,
17.09.2011,19:00,2,0,1. FC Slovácko,České Budějovice,
17.09.2011,20:15,4,2,Viktoria Plzeň,FK Jablonec,
18.09.2011,10:15,0,1,Viktoria Žižkov,FK Teplice,
18.09.2011,17:00,2,0,1. FK Příbram,FK Mladá Boleslav,
18.09.2011,17:00,2,0,FC Hradec Králové,Bohemians 1905,
19.09.2011,18:30,0,2,Baník Ostrava,Sparta Praha,
23.09.2011,18:00,2,1,Dukla Praha,1. FK Příbram,
23.09.2011,20:15,0,0,České Budějovice,Viktoria Plzeň,
24.09.2011,16:35,1,0,Sigma Olomouc,FK Teplice,
24.09.2011,17:00,0,1,Baník Ostrava,1. FC Slovácko,
25.09.2011,15:00,3,1,FK Jablonec,Viktoria Žižkov,
25.09.2011,16:00,1,1,FK Mladá Boleslav,FC Hradec Králové,
25.09.2011,17:00,1,1,Bohemians 1905,Slovan Liberec,
26.09.2011,19:30,3,0,Sparta Praha,Slavia Praha,
01.10.2011,17:20,0,3,1. FK Příbram,Sparta Praha,
01.10.2011,18:00,1,2,Slovan Liberec,Dukla Praha,
01.10.2011,19:30,0,1,Viktoria Žižkov,Bohemians 1905,
02.10.2011,15:00,1,0,Slavia Praha,Sigma Olomouc,
02.10.2011,17:00,1,1,Viktoria Plzeň,Baník Ostrava,
02.10.2011,17:00,1,3,FK Teplice,FK Mladá Boleslav,
02.10.2011,17:00,0,0,FC Hradec Králové,České Budějovice,
03.10.2011,18:30,1,0,1. FC Slovácko,FK Jablonec,
14.10.2011,20:15,1,3,1. FC Slovácko,Viktoria Plzeň,
15.10.2011,16:00,1,0,Baník Ostrava,FC Hradec Králové,
15.10.2011,18:20,0,3,Sparta Praha,Slovan Liberec,
16.10.2011,15:00,5,1,FK Jablonec,1. FK Příbram,
16.10.2011,15:00,1,1,České Budějovice,FK Teplice,
16.10.2011,17:00,1,1,Sigma Olomouc,FK Mladá Boleslav,
16.10.2011,17:00,0,0,Bohemians 1905,Dukla Praha,
17.10.2011,18:30,1,0,Viktoria Žižkov,Slavia Praha,
21.10.2011,20:15,3,2,Slovan Liberec,Baník Ostrava,
22.10.2011,16:00,4,1,1. FK Příbram,Sigma Olomouc,
22.10.2011,18:20,1,3,Dukla Praha,FK Jablonec,
23.10.2011,15:00,0,1,FC Hradec Králové,1. FC Slovácko,
23.10.2011,15:00,2,0,Slavia Praha,České Budějovice,
23.10.2011,17:00,2,0,FK Mladá Boleslav,Bohemians 1905,
23.10.2011,17:00,4,1,Viktoria Plzeň,Viktoria Žižkov,
24.10.2011,18:30,0,1,FK Teplice,Sparta Praha,
28.10.2011,18:00,1,1,Bohemians 1905,Sigma Olomouc,
28.10.2011,20:15,5,0,Viktoria Plzeň,FC Hradec Králové,
29.10.2011,16:00,1,2,Baník Ostrava,Dukla Praha,
29.10.2011,18:20,0,3,Sparta Praha,FK Mladá Boleslav,
30.10.2011,10:15,1,4,Viktoria Žižkov,Slovan Liberec,
30.10.2011,15:00,4,1,České Budějovice,1. FK Příbram,
30.10.2011,17:00,1,3,1. FC Slovácko,Slavia Praha,
31.10.2011,18:30,0,1,FK Jablonec,FK Teplice,
04.11.2011,20:15,0,0,FC Hradec Králové,FK Jablonec,
05.11.2011,16:00,4,0,Slovan Liberec,České Budějovice,
05.11.2011,16:00,3,0,1. FK Příbram,Bohemians 1905,
05.11.2011,18:40,0,1,Sigma Olomouc,Sparta Praha,
06.11.2011,17:00,3,1,FK Mladá Boleslav,Dukla Praha,
06.11.2011,17:00,2,1,FK Teplice,1. FC Slovácko,
06.11.2011,17:00,2,1,Slavia Praha,Viktoria Plzeň,
07.11.2011,18:30,0,3,Viktoria Žižkov,Baník Ostrava,
18.11.2011,20:15,2,0,FK Jablonec,Sigma Olomouc,
19.11.2011,14:00,0,0,Dukla Praha,FK Teplice,
19.11.2011,17:00,1,2,1. FC Slovácko,Slovan Liberec,
19.11.2011,18:20,3,2,Viktoria Plzeň,FK Mladá Boleslav,
20.11.2011,15:00,1,1,FC Hradec Králové,Slavia Praha,
20.11.2011,15:00,1,0,České Budějovice,Viktoria Žižkov,
20.11.2011,17:00,0,2,Baník Ostrava,1. FK Příbram,
21.11.2011,18:30,0,4,Bohemians 1905,Sparta Praha,
25.11.2011,20:15,0,0,Sparta Praha,Dukla Praha,
26.11.2011,17:45,2,2,Slovan Liberec,FK Jablonec,
27.11.2011,10:15,0,1,Viktoria Žižkov,1. FC Slovácko,
27.11.2011,14:30,2,0,FK Teplice,Bohemians 1905,
27.11.2011,16:00,3,1,FK Mladá Boleslav,České Budějovice,
27.11.2011,17:00,2,1,1. FK Příbram,Viktoria Plzeň,
27.11.2011,17:00,0,2,Sigma Olomouc,FC Hradec Králové,
28.11.2011,18:30,0,0,Slavia Praha,Baník Ostrava,
02.12.2011,20:15,4,1,Viktoria Plzeň,Bohemians 1905,
03.12.2011,16:00,1,3,Slavia Praha,Slovan Liberec,
03.12.2011,16:00,0,0,Baník Ostrava,Sigma Olomouc,
03.12.2011,19:20,2,4,FK Jablonec,Sparta Praha,
04.12.2011,10:15,1,2,Viktoria Žižkov,1. FK Příbram,
04.12.2011,15:00,3,2,České Budějovice,Dukla Praha,
04.12.2011,17:00,3,2,FC Hradec Králové,FK Teplice,
05.12.2011,18:30,1,0,1. FC Slovácko,FK Mladá Boleslav,
17.02.2012,20:15,3,0,Dukla Praha,Viktoria Žižkov,
18.02.2012,14:00,0,0,1. FK Příbram,Slavia Praha,
18.02.2012,16:00,3,1,Slovan Liberec,FC Hradec Králové,
18.02.2012,18:20,1,0,Sparta Praha,1. FC Slovácko,
19.02.2012,15:00,2,1,FK Mladá Boleslav,Baník Ostrava,
19.02.2012,17:00,1,2,Bohemians 1905,FK Jablonec,
19.02.2012,17:00,3,4,FK Teplice,Viktoria Plzeň,
20.02.2012,18:00,0,0,Sigma Olomouc,České Budějovice,
24.02.2012,20:15,1,0,FC Hradec Králové,Sparta Praha,
25.02.2012,16:00,2,2,Baník Ostrava,FK Jablonec,
25.02.2012,17:00,0,1,1. FC Slovácko,Sigma Olomouc,
25.02.2012,18:50,2,0,Slovan Liberec,1. FK Příbram,
26.02.2012,10:15,1,2,Viktoria Žižkov,FK Mladá Boleslav,
26.02.2012,15:00,3,1,České Budějovice,Bohemians 1905,
26.02.2012,17:00,1,1,Viktoria Plzeň,Dukla Praha,
27.02.2012,18:00,0,0,Slavia Praha,FK Teplice,
02.03.2012,18:00,2,0,Dukla Praha,1. FC Slovácko,
02.03.2012,20:15,1,0,FK Teplice,Slovan Liberec,
03.03.2012,15:00,0,0,1. FK Příbram,FC Hradec Králové,
03.03.2012,18:20,1,3,Sparta Praha,Viktoria Plzeň,
04.03.2012,15:00,1,1,FK Jablonec,České Budějovice,
04.03.2012,17:00,3,2,FK Mladá Boleslav,Slavia Praha,
04.03.2012,17:00,2,1,Sigma Olomouc,Viktoria Žižkov,
05.03.2012,18:00,0,1,Bohemians 1905,Baník Ostrava,
09.03.2012,20:15,0,2,Viktoria Žižkov,Sparta Praha,
10.03.2012,16:00,1,1,Baník Ostrava,České Budějovice,
10.03.2012,17:00,3,2,1. FC Slovácko,Bohemians 1905,
10.03.2012,19:30,2,1,Slovan Liberec,FK Mladá Boleslav,
11.03.2012,15:00,0,2,FC Hradec Králové,Dukla Praha,
11.03.2012,15:00,0,4,Viktoria Plzeň,Sigma Olomouc,
11.03.2012,17:00,0,0,Slavia Praha,FK Jablonec,
12.03.2012,18:00,0,0,1. FK Příbram,FK Teplice,
16.03.2012,20:15,2,0,Sparta Praha,Baník Ostrava,
17.03.2012,15:50,0,2,FK Jablonec,Viktoria Plzeň,
17.03.2012,16:00,2,4,Sigma Olomouc,Slovan Liberec,
17.03.2012,17:30,0,0,FK Teplice,Viktoria Žižkov,
18.03.2012,15:00,2,2,České Budějovice,1. FC Slovácko,
18.03.2012,16:00,2,2,FK Mladá Boleslav,1. FK Příbram,
18.03.2012,17:00,0,0,Bohemians 1905,FC Hradec Králové,
19.03.2012,17:00,0,0,Dukla Praha,Slavia Praha,
23.03.2012,20:15,2,2,1. FK Příbram,Dukla Praha,
24.03.2012,15:50,1,1,Slavia Praha,Sparta Praha,
24.03.2012,16:00,3,0,Slovan Liberec,Bohemians 1905,
24.03.2012,18:30,1,0,1. FC Slovácko,Baník Ostrava,
25.03.2012,17:00,3,1,FK Teplice,Sigma Olomouc,
25.03.2012,17:00,4,2,Viktoria Žižkov,FK Jablonec,
25.03.2012,17:00,2,0,FC Hradec Králové,FK Mladá Boleslav,
26.03.2012,16:30,4,0,Viktoria Plzeň,České Budějovice,
30.03.2012,20:15,1,2,Bohemians 1905,Viktoria Žižkov,
01.04.2012,15:00,1,0,FK Jablonec,1. FC Slovácko,
01.04.2012,16:00,0,1,FK Mladá Boleslav,FK Teplice,
01.04.2012,17:00,1,0,České Budějovice,FC Hradec Králové,
01.04.2012,17:00,1,0,Sigma Olomouc,Slavia Praha,
01.04.2012,17:00,0,2,Sparta Praha,1. FK Příbram,
01.04.2012,20:15,1,2,Dukla Praha,Slovan Liberec,
02.04.2012,17:00,2,3,Baník Ostrava,Viktoria Plzeň,
06.04.2012,18:00,0,1,FK Teplice,České Budějovice,
06.04.2012,18:00,2,0,Dukla Praha,Bohemians 1905,
06.04.2012,20:15,2,3,FK Mladá Boleslav,Sigma Olomouc,
07.04.2012,16:00,4,3,1. FK Příbram,FK Jablonec,
07.04.2012,19:00,1,3,Slovan Liberec,Sparta Praha,
08.04.2012,17:00,0,1,FC Hradec Králové,Baník Ostrava,
08.04.2012,17:00,1,0,Viktoria Plzeň,1. FC Slovácko,
09.04.2012,20:15,2,0,Slavia Praha,Viktoria Žižkov,
13.04.2012,20:15,1,0,České Budějovice,Slavia Praha,
14.04.2012,15:50,2,2,Sparta Praha,FK Teplice,
14.04.2012,19:00,0,3,1. FC Slovácko,FC Hradec Králové,
15.04.2012,15:00,0,2,FK Jablonec,Dukla Praha,
15.04.2012,17:00,0,0,Viktoria Žižkov,Viktoria Plzeň,
15.04.2012,17:00,4,4,Sigma Olomouc,1. FK Příbram,
15.04.2012,17:00,0,3,Bohemians 1905,FK Mladá Boleslav,
16.04.2012,19:00,1,3,Baník Ostrava,Slovan Liberec,
20.04.2012,18:00,4,1,Dukla Praha,Baník Ostrava,
20.04.2012,20:15,4,0,Slovan Liberec,Viktoria Žižkov,
21.04.2012,16:00,1,2,1. FK Příbram,České Budějovice,
22.04.2012,17:00,0,1,Slavia Praha,1. FC Slovácko,
22.04.2012,17:00,0,1,FC Hradec Králové,Viktoria Plzeň,
22.04.2012,17:00,3,2,FK Teplice,FK Jablonec,
22.04.2012,19:15,2,0,FK Mladá Boleslav,Sparta Praha,
23.04.2012,18:00,4,0,Sigma Olomouc,Bohemians 1905,
27.04.2012,20:15,1,0,Sparta Praha,Sigma Olomouc,
28.04.2012,16:45,0,4,České Budějovice,Slovan Liberec,
28.04.2012,17:00,3,1,Baník Ostrava,Viktoria Žižkov,
28.04.2012,19:00,0,0,1. FC Slovácko,FK Teplice,
29.04.2012,15:00,2,0,FK Jablonec,FC Hradec Králové,
29.04.2012,17:00,1,2,Dukla Praha,FK Mladá Boleslav,
29.04.2012,17:00,2,0,Bohemians 1905,1. FK Příbram,
30.04.2012,18:00,3,0,Viktoria Plzeň,Slavia Praha,
03.05.2012,18:30,5,0,Slavia Praha,FC Hradec Králové,
04.05.2012,20:15,0,0,Slovan Liberec,1. FC Slovácko,
05.05.2012,15:20,1,2,1. FK Příbram,Baník Ostrava,
06.05.2012,10:15,2,0,Viktoria Žižkov,České Budějovice,
06.05.2012,17:00,1,1,Sigma Olomouc,FK Jablonec,
06.05.2012,17:00,0,1,FK Mladá Boleslav,Viktoria Plzeň,
06.05.2012,17:00,4,0,FK Teplice,Dukla Praha,
06.05.2012,19:15,1,0,Sparta Praha,Bohemians 1905,
09.05.2012,18:00,1,2,FC Hradec Králové,Sigma Olomouc,
09.05.2012,18:00,5,0,Viktoria Plzeň,1. FK Příbram,
09.05.2012,18:00,2,1,1. FC Slovácko,Viktoria Žižkov,
09.05.2012,18:00,3,0,Baník Ostrava,Slavia Praha,
09.05.2012,18:00,1,0,České Budějovice,FK Mladá Boleslav,
09.05.2012,18:00,0,2,FK Jablonec,Slovan Liberec,
09.05.2012,18:00,1,1,Dukla Praha,Sparta Praha,
09.05.2012,18:00,0,0,Bohemians 1905,FK Teplice,
12.05.2012,17:30,2,1,Sigma Olomouc,Dukla Praha,
12.05.2012,17:30,3,0,FK Mladá Boleslav,FK Jablonec,
12.05.2012,17:30,1,1,FK Teplice,Baník Ostrava,
12.05.2012,17:30,0,4,1. FK Příbram,1. FC Slovácko,
12.05.2012,17:30,0,0,Slovan Liberec,Viktoria Plzeň,
12.05.2012,17:30,1,1,Viktoria Žižkov,FC Hradec Králové,
12.05.2012,17:30,3,1,Slavia Praha,Bohemians 1905,
12.05.2012,17:30,3,0,Sparta Praha,České Budějovice,
